"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Switzerland","CHE","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","7.4","","","","","","","","","","7.5","","","","","","","","7.8","","8.1","","","","7.4","7.4","7.5","7.8","7.8","7.9","8.1","7.9","7.8","7.8","7.6","7.7","7.5","","","",
"Channel Islands","CHI","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","","","3.4","","3.8","","3.5","","3.6","","3.5","","3.8","","","4","","","5","","","5.2","","5.3","","5.5","","5.7","","5.8","","","5.5","",
"China","CHN","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","","","7.9","","","7.4","","","6.5","","","5.7","","","5.9","","","5.2","","5.1","5.4","5.3","6.2","6.2","6.4","6.5","6.4","6.5","6.7","","",
"Cote d'Ivoire","CIV","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","6.9","6.3","6.8","","","","6","","","6.6","","","6.4","","","","6.1","","","","","","5.1","","","","","","","5.7","","","7","","","",
"Cameroon","CMR","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","","","","","6.2","","","","","","5.8","","","","","","","4.5","","","","","","","",
"Congo, Dem. Rep.","COD","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","","","","","","","","5.5","","","","","","","","","",
"Congo, Rep.","COG","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","","","","","","4.2","","","","","","","","","","",
"Colombia","COL","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","","","","2.4","","","2","1.9","2.4","3.2","3.5","3.5","3.6","","","3","3.3","3.3","3.5","3.5","3.5","3.6","3.8","3.9","4.1","4","3.7","2.8","",
"Comoros","COM","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","4.5","","","","","","","",
"Cabo Verde","CPV","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","","","","","","5","","","","","","","","5.7","","","","","","",
"Costa Rica","CRI","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","3.3","","","","","5.2","","","3.7","3.8","3.6","4","3.9","4","4","3.8","4.2","4.3","3.9","3.9","3.5","3.5","3.7","4","4.2","4.1","4.3","4.3","4","4.4","4.2","4.2","4.1","4.2","4.3","4.2","4.4","4.3","4.4","4","",
"Caribbean small states","CSS","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8","8.9","8.8","8.7","8.6","8.5","8.6","8.4","8","7.7","7.6","7.8","8.2","8.4","8.4","8.5","","",
