rank,artist_names,track_name,label,peak_rank,weeks_on_chart,streams
117,The Weeknd,The Hills,Universal Republic Records,52,50,7114342
118,Billie Eilish,TV,Darkroom/Interscope Records,27,3,7104173
119,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,3,70,7084565
120,Bad Bunny,Me Fui de Vacaciones,Rimas Entertainment LLC,14,14,7072957
121,"Mora, Feid",LA INOCENTE,Rimas Entertainment LLC,121,6,7009596
122,Lana Del Rey,Summertime Sadness,Polydor Records,122,3,6987514
123,Arctic Monkeys,Do I Wanna Know?,Domino Recording Co,117,48,6935428
124,Taylor Swift,Blank Space,"Big Machine Records, LLC",113,40,6904265
125,GAYLE,abcdefu,Atlantic/Arthouse Records,1,39,6881394
126,Seafret,Atlantis,Sweet Jane Recordings,126,3,6880176
127,"Marshmello, Khalid",Numb,Joytime Collective/RCA Records,114,9,6868715
128,Vance Joy,Riptide,F-Stop Records/Atlantic,122,84,6855994
129,"Polimá Westcoast, Pailita",ULTRA SOLO,Sony Music Entertainment Chile S.A,42,16,6830377
130,Rema,Calm Down,Mavin Records / Jonzing World,130,5,6823620
131,Drake,Massive,OVO,18,8,6820777
132,Bad Bunny,Aguacero,Rimas Entertainment LLC,22,14,6815810
133,NAYEON,POP!,Republic Records – NAYEON (TWICE),68,7,6807398
134,Post Malone,Circles,Republic Records,1,154,6800947
135,Cigarettes After Sex,Apocalypse,Partisan Records,135,5,6795003
136,"Bad Bunny, The Marías",Otro Atardecer,Rimas Entertainment LLC,24,14,6773716
137,"Tiësto, Ava Max",The Motto,Atlantic Records,22,40,6771424
138,Eminem,The Real Slim Shady,Interscope,51,62,6757686
139,"Grupo Marca Registrada, Junior H",El Rescate,RB Music,129,3,6752986
140,Guns N' Roses,Sweet Child O' Mine,Guns N Roses P&D,101,10,6750061
141,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,XO / Republic Records,5,68,6733609
142,Queen,Bohemian Rhapsody - Remastered 2011,EMI,11,202,6720386
143,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,7,67,6706621
144,J. Cole,No Role Modelz,Roc Nation Records LLC,76,55,6690323
145,"Calvin Harris, Dua Lipa, Young Thug",Potion (with Dua Lipa & Young Thug),Columbia,26,10,6671706
146,"David Guetta, Becky Hill, Ella Henderson",Crazy What Love Can Do,Parlophone UK,127,14,6671686
147,The Killers,Mr. Brightside,Island Records,98,107,6652505
148,BTS,Dynamite,BIGHIT MUSIC,2,103,6634310
149,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,199,6601501
150,LF SYSTEM,Afraid To Feel,Warner Records,150,5,6593566
151,Danny Ocean,Fuera del mercado,Atlantic Records,22,21,6569363
152,"Maroon 5, Wiz Khalifa",Payphone,Interscope Records*,70,34,6568408
153,OneRepublic,Counting Stars,Mosley / Interscope,101,74,6566460
154,WILLOW,Wait a Minute!,Roc Nation W Smith P&D,28,21,6553718
155,Charlie Puth,Light Switch,Atlantic Records,19,29,6539497
156,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1,73,6539465
157,Dua Lipa,Don't Start Now,Warner Records,2,145,6441943
