,artist_names,track_name,weeks_on_chart,streams
164,Shawn Mendes,There's Nothing Holdin' Me Back,72,5907999
165,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48",23,6038266
166,Bad Bunny,Tití Me Preguntó,14,32101875
167,"Polimá Westcoast, Pailita",ULTRA SOLO,16,6830377
168,"Polimá Westcoast, Pailita, Feid, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,8,8780992
169,Bad Bunny,Un Coco,14,8331551
170,Bad Bunny,Un Ratito,14,9575383
171,Cris Mj,Una Noche en Medellín,24,11162073
172,Chris Brown,Under The Influence,3,13145783
173,Sia,Unstoppable,26,6425618
174,Stephen Sanchez,Until I Found You,14,11831698
175,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),10,11912237
176,"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",9,9914713
177,"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),15,9711610
178,WILLOW,Wait a Minute!,21,6553718
179,Avicii,Wake Me Up,87,6268427
180,Harry Styles,Watermelon Sugar,143,10151357
181,"Lost Frequencies, Calum Scott",Where Are You Now,49,10335236
182,Arctic Monkeys,Why'd You Only Call Me When You're High?,40,5927486
183,Eminem,Without Me,46,7731394
184,Doja Cat,Woman,57,9962459
185,"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,20,5937057
186,Coldplay,Yellow,86,7756086
187,BTS,Yet To Come,8,5789766
188,Bad Bunny,Yo No Soy Celoso,14,7142453
189,Zion & Lennox,Yo Voy (feat. Daddy Yankee),25,5862129
190,Bad Bunny,Yonaguni,62,7241313
191,GAYLE,abcdefu,39,6881394
192,Taylor Swift,august,7,8909277
193,Rels B,cómo dormiste?,1,10281063
194,Olivia Rodrigo,deja vu,71,7995717
195,Olivia Rodrigo,drivers license,83,8199551
196,Olivia Rodrigo,good 4 u,65,8671686
197,Olivia Rodrigo,happier,64,5964039
198,"Billie Eilish, Khalid",lovely (with Khalid),225,8082909
199,Olivia Rodrigo,traitor,64,9281360
