rank,artist_names,track_name,label,peak_rank
175,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,149
176,Ezhel,Nerdesin,StageArt Europe,164
177,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48",WEA Latina/DALE PLAY Records,37
178,"NAV, Lil Baby, Travis Scott",Never Sleep (with Lil Baby feat. Travis Scott),XO Records / Republic Records,101
179,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1
180,"Coolio, L.V.",Gangsta's Paradise,"Tommy Boy Music, LLC",116
181,"Ana Castela, Melody, Dj Chris No Beat",Pipoco,Ana Castela,100
182,Jaymes Young,Infinity,Atlantic Records,11
183,Olivia Rodrigo,happier,Olivia Rodrigo PS,12
184,"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,Republic Records,18
185,Arctic Monkeys,Why'd You Only Call Me When You're High?,Domino Recording Co,104
186,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",Aftermath,44
187,Shawn Mendes,There's Nothing Holdin' Me Back,Island Records,5
188,Troye Sivan,Angel Baby,EMI Recorded Music Australia Pty Ltd,59
189,Beyoncé,SUMMER RENAISSANCE,Parkwood Entertainment/Columbia,46
190,Zion & Lennox,Yo Voy (feat. Daddy Yankee),Baby Records Inc,59
191,"zzoilo, Aitana",Mon Amour - Remix,Universal Music Spain S.L.,34
192,The Neighbourhood,Softcore,Columbia,35
193,Sofia Carson,Come Back Home,Hollywood Records,193
194,BTS,Yet To Come,BIGHIT MUSIC,7
195,Imagine Dragons,Demons,Kid Ina Korner / Interscope,194
196,"Shae Gill, Ali Sethi",Pasoori,Giraffe Pakistan,109
197,"Megan Thee Stallion, Dua Lipa",Sweetest Pie,300 Entertainment,17
198,Kanye West,Heartless,Roc-A-Fella,198
199,"ACRAZE, Cherish",Do It To It,"Thrive Music, LLC",9
200,Hozier,Take Me To Church,Universal-Island Records Ltd.,108
